-0.20,8.54,6.03,-0.39,-0.18,0.09,29
0.26,7.69,4.80,0.16,-0.07,0.15,29.1
1.03,8.35,5.93,-0.37,-0.09,0.16,29.2
1.11,8.51,4.46,0.04,-0.29,-0.17,29.3
0.71,8.65,5.12,-0.23,-0.29,-0.10,29.4
0.51,8.21,5.33,0.04,-0.01,-0.10,29.5
0.40,8.06,5.49,-0.11,-0.01,-0.05,29.6
-0.15,8.32,5.32,0.00,0.00,-0.08,29.7
0.10,8.03,5.50,-0.10,0.13,-0.02,29.8
-0.25,5.94,5.30,-0.14,0.19,0.11,29.9
1.82,3.67,4.08,-0.47,0.22,0.06,30
0.23,6.66,7.05,-0.90,0.44,-0.59,30.1
0.14,6.65,10.39,-1.43,-0.96,0.12,30.2
1.96,8.09,7.52,-0.40,-0.33,-0.12,30.3
0.15,7.82,13.22,-1.37,-0.40,-0.24,30.4
0.48,6.47,9.76,-0.45,-0.09,-0.30,30.5
1.06,5.22,7.76,0.57,-0.13,0.26,30.6
1.48,4.86,7.14,0.29,-0.06,0.35,30.7
1.28,5.70,6.70,0.57,0.08,0.14,30.8
1.76,7.24,8.14,0.29,0.30,0.16,30.9
1.79,9.20,8.27,0.17,-0.02,0.14,31
0.78,8.73,4.07,1.19,0.53,0.10,31.1
0.38,5.66,4.08,0.87,1.59,0.38,31.2
0.10,3.95,8.87,-0.09,0.73,0.20,31.3
-0.41,4.92,9.72,-0.26,0.81,0.04,31.4
-0.18,7.85,8.21,-0.53,0.02,-0.10,31.5
0.64,5.02,4.99,-0.32,-1.12,-0.02,31.6
2.04,6.44,9.18,-0.50,0.10,0.02,31.7
-1.21,6.14,8.84,0.27,0.52,-0.68,31.8
-1.07,6.44,5.83,0.15,0.23,-0.37,31.9
-1.65,6.70,7.67,-0.07,0.26,-0.16,32
-0.97,6.81,7.30,0.07,-0.04,0.11,32.1
-1.05,6.51,7.42,-0.05,0.04,0.09,32.2
-0.57,6.36,7.12,-0.06,0.00,0.07,32.3
-0.71,6.39,6.94,0.08,0.09,-0.02,32.4
-0.86,6.61,6.68,0.03,0.09,-0.07,32.5
-1.37,6.25,7.40,-0.06,0.04,-0.08,32.6
-1.15,6.52,6.88,0.02,0.11,-0.01,32.7
-1.18,6.56,6.97,0.01,0.00,0.00,32.8
-1.05,6.42,7.67,-0.03,0.02,0.01,32.9
-1.66,6.90,8.20,0.20,0.07,-0.01,33
0.16,5.38,9.79,0.36,-0.37,0.26,33.1
-0.91,5.29,10.38,-0.35,-0.65,0.12,33.2
0.34,5.81,5.80,0.85,-1.21,0.02,33.3
0.17,7.28,5.43,0.31,-1.15,-0.28,33.4
1.28,8.16,5.40,0.20,-0.61,-0.05,33.5
1.55,8.68,5.63,-0.05,-1.00,-0.14,33.6
1.56,7.79,5.89,-0.30,-0.09,-0.14,33.7
2.38,5.90,7.96,-0.66,0.01,-0.08,33.8
1.89,6.76,7.21,-0.20,-0.18,-0.17,33.9
2.02,6.58,7.53,-0.16,-0.18,-0.12,34
2.04,6.72,6.81,-0.07,-0.15,-0.14,34.1
1.73,6.24,7.33,-0.25,-0.14,-0.11,34.2
2.97,5.54,7.36,-0.19,-0.20,0.01,34.3
4.51,5.22,7.99,-0.15,-0.40,-0.01,34.4
1.92,5.50,7.57,-0.28,-0.26,-0.68,34.5
2.45,4.71,8.60,-0.73,-0.36,-0.50,34.6
1.32,5.67,8.47,-0.26,-0.03,-0.74,34.7
0.77,6.19,7.42,0.19,0.20,-0.70,34.8
0.49,6.11,7.87,-0.08,0.03,-0.28,34.9
1.49,5.17,8.28,0.05,-0.08,0.00,35
1.49,5.41,8.10,0.06,0.00,-0.03,35.1
1.27,5.70,8.06,0.02,-0.01,-0.07,35.2
1.25,5.63,8.06,0.06,0.00,-0.01,35.3
1.04,5.62,8.28,0.03,0.01,0.02,35.4
1.74,6.21,6.90,0.16,0.05,0.08,35.5
-1.82,6.42,9.39,0.00,0.40,0.07,35.6
-1.59,6.11,6.57,0.83,0.78,0.63,35.7
2.34,4.82,8.57,0.50,0.84,1.40,35.8
2.42,5.57,7.87,0.17,0.19,0.47,35.9
2.49,6.33,6.60,0.10,-0.11,0.29,36
2.18,6.35,6.33,-0.01,-0.18,0.08,36.1
1.02,6.64,7.22,-0.06,-0.10,-0.17,36.2
1.47,6.36,7.37,0.00,-0.02,-0.06,36.3
1.52,6.75,7.02,-0.02,-0.09,-0.12,36.4
1.11,6.34,7.39,-0.12,-0.02,-0.06,36.5
1.68,6.41,7.53,-0.10,-0.06,-0.06,36.6
1.67,6.40,7.80,-0.13,-0.01,-0.07,36.7
1.59,6.21,7.50,0.09,0.02,-0.04,36.8
1.42,5.81,7.27,0.05,-0.07,0.06,36.9
1.64,5.33,7.73,0.03,-0.04,0.07,37
1.10,5.88,6.38,-0.16,0.12,-0.10,37.1
2.61,5.98,8.54,-0.39,-0.14,0.15,37.2
1.37,6.55,9.11,-0.29,0.16,-0.20,37.3
1.94,5.28,7.39,0.03,-0.09,-0.09,37.4
0.88,5.34,8.53,-0.23,-0.01,-0.31,37.5
0.43,6.01,8.17,-0.10,-0.02,-0.30,37.6
1.17,5.40,8.10,-0.07,-0.01,0.02,37.7
1.16,5.19,8.04,-0.03,0.03,-0.01,37.8
1.02,5.39,8.25,-0.06,0.01,-0.04,37.9
1.09,5.48,8.38,-0.04,-0.01,-0.02,38
1.11,5.36,8.07,0.01,-0.04,0.02,38.1
1.21,5.21,8.09,0.03,-0.01,0.02,38.2
1.10,5.43,8.30,0.00,0.02,-0.01,38.3
1.17,5.48,8.25,0.03,0.00,0.02,38.4
1.28,5.35,8.09,0.06,0.03,0.04,38.5
1.30,5.37,7.95,0.04,0.00,0.01,38.6
1.27,5.39,8.17,0.01,0.00,-0.03,38.7
1.09,5.57,8.33,0.00,0.01,-0.08,38.8
1.50,5.87,8.22,0.05,-0.03,-0.05,38.9
2.19,5.94,8.51,0.17,-0.10,-0.09,39
1.19,5.98,8.28,0.29,-0.11,-0.34,39.1
1.37,6.16,7.44,0.48,-0.20,-0.22,39.2
1.47,6.30,7.11,0.40,-0.29,-0.29,39.3
2.11,6.04,6.83,0.17,-0.53,-0.24,39.4
1.76,5.89,4.83,0.16,-0.53,-0.36,39.5
0.76,5.83,7.92,-0.61,-0.27,-0.44,39.6
0.19,6.78,8.01,-0.28,0.09,-0.50,39.7
0.25,6.64,8.66,-0.22,0.11,-0.30,39.8
0.59,6.09,7.96,-0.05,0.10,-0.13,39.9
0.88,5.92,7.51,0.00,-0.06,0.03,40
0.81,6.16,7.70,-0.05,-0.01,-0.01,40.1
0.93,6.06,7.89,-0.02,-0.04,0.01,40.2
0.78,5.92,7.72,0.02,-0.03,-0.02,40.3
0.85,6.07,7.71,0.01,0.00,-0.04,40.4
0.94,5.98,7.99,-0.03,0.01,0.01,40.5
0.84,5.98,7.83,0.05,-0.02,-0.02,40.6
0.88,6.01,7.59,0.06,-0.01,-0.01,40.7
1.13,5.96,7.51,0.00,-0.02,-0.03,40.8
